iter	Passed	Remaining
0	4	4705
1	8	4285
2	14	4925
3	16	4110
4	20	4060
5	24	3976
6	29	4206
7	33	4147
8	38	4222
9	40	4045
10	46	4175
11	50	4154
12	51	3883
13	54	3858
14	58	3855
15	62	3841
16	66	3837
17	70	3852
18	72	3759
19	85	4177
20	89	4181
21	93	4168
22	97	4141
23	99	4054
24	103	4031
25	107	4019
26	110	3997
27	114	3967
28	118	3951
29	122	3966
30	126	3948
31	129	3919
32	132	3896
33	137	3909
34	141	3895
35	147	3957
36	151	3930
37	155	3928
38	160	3946
39	164	3938
40	167	3927
41	171	3917
42	176	3918
43	179	3906
44	183	3892
45	187	3884
46	190	3869
47	194	3854
48	198	3860
49	202	3850
50	206	3835
51	210	3838
52	214	3831
53	218	3822
54	222	3815
55	222	3755
56	227	3759
57	231	3757
58	234	3746
59	238	3740
60	250	3862
61	254	3852
62	258	3843
63	262	3836
64	265	3826
65	269	3820
66	273	3809
67	274	3769
68	278	3763
69	283	3765
70	287	3761
71	291	3756
72	295	3751
73	299	3751
74	303	3746
75	307	3735
76	311	3733
77	315	3732
78	319	3727
79	324	3726
80	328	3723
81	334	3743
82	338	3744
83	343	3741
84	359	3870
85	363	3861
86	366	3849
87	371	3846
88	375	3842
89	380	3843
90	383	3831
91	387	3820
92	390	3812
93	394	3799
94	397	3789
95	401	3778
96	404	3769
97	408	3759
98	412	3749
99	415	3735
100	418	3725
101	422	3718
102	426	3710
103	429	3700
104	432	3690
105	436	3680
106	439	3671
107	443	3662
108	446	3652
109	450	3647
110	454	3639
111	458	3631
112	461	3621
113	465	3618
114	469	3612
115	478	3649
116	482	3641
117	485	3631
118	491	3639
119	495	3631
120	498	3621
121	503	3625
122	509	3631
123	513	3624
124	516	3617
125	527	3658
126	536	3684
127	540	3679
128	543	3670
129	547	3662
130	550	3653
131	556	3658
132	559	3650
133	563	3642
134	567	3634
135	571	3633
136	575	3626
137	579	3617
138	582	3609
139	587	3610
140	591	3602
141	594	3592
142	598	3586
143	602	3583
144	606	3575
145	609	3568
146	613	3562
147	618	3561
148	622	3555
149	627	3553
150	630	3547
151	635	3547
152	639	3540
153	643	3534
154	647	3528
155	652	3527
156	655	3521
157	660	3517
158	664	3512
159	668	3507
160	672	3502
161	676	3499
162	681	3499
163	685	3494
164	689	3488
165	692	3480
166	698	3482
167	701	3474
168	705	3468
169	708	3461
170	713	3459
171	717	3453
172	722	3454
173	728	3456
174	733	3457
175	738	3458
176	744	3461
177	752	3473
178	758	3477
179	766	3491
180	772	3495
181	779	3502
182	785	3505
183	790	3504
184	796	3510
185	802	3510
186	807	3511
187	814	3515
188	819	3515
189	826	3521
190	832	3525
191	837	3525
192	845	3536
193	851	3536
194	859	3546
195	864	3546
196	871	3551
197	877	3554
198	883	3557
199	889	3559
200	895	3560
201	901	3560
202	907	3564
203	914	3569
204	922	3576
205	929	3583
206	936	3589
207	944	3594
208	953	3608
209	959	3609
210	969	3624
211	975	3624
212	982	3630
213	989	3632
214	995	3635
215	1001	3634
216	1005	3629
217	1013	3633
218	1018	3633
219	1023	3629
220	1030	3632
221	1036	3631
222	1042	3630
223	1048	3632
224	1053	3629
225	1060	3633
226	1066	3631
227	1071	3629
228	1078	3630
229	1083	3627
230	1089	3625
231	1095	3626
232	1101	3626
233	1107	3626
234	1113	3625
235	1120	3627
236	1127	3631
237	1134	3632
238	1140	3631
239	1146	3630
240	1151	3627
241	1158	3629
242	1164	3626
243	1169	3623
244	1175	3623
245	1181	3620
246	1186	3617
247	1193	3619
248	1200	3621
249	1208	3624
250	1213	3621
251	1219	3620
252	1231	3635
253	1241	3647
254	1249	3649
255	1255	3647
256	1260	3643
257	1268	3648
258	1274	3645
259	1280	3645
260	1286	3642
261	1291	3636
262	1296	3633
263	1301	3627
264	1306	3623
265	1311	3618
266	1316	3613
267	1321	3608
268	1326	3604
269	1331	3599
270	1338	3601
271	1344	3598
272	1349	3594
273	1356	3594
274	1361	3590
275	1366	3585
276	1371	3580
277	1376	3575
278	1382	3571
279	1387	3566
280	1391	3561
281	1396	3556
282	1402	3552
283	1408	3551
